what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"macosx",1349728986034
arch,sysinfo,,,"x86",1349728986034
ws,sysinfo,,,"cocoa",1349728986034
locale,sysinfo,,,"en_US",1349728986034
processors,sysinfo,,,"2",1349728986034
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349728986034
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1349728986034
java.specification.name,sysinfo,,,"Java Platform API Specification",1349728986034
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349728986034
java.specification.version,sysinfo,,,"1.6",1349728986034
java.vendor,sysinfo,,,"Apple Inc.",1349728986034
java.version,sysinfo,,,"1.6.0_35",1349728986034
java.vm.info,sysinfo,,,"mixed mode",1349728986034
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349728986034
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349728986034
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349728986034
java.vm.specification.version,sysinfo,,,"1.0",1349728986034
java.vm.vendor,sysinfo,,,"Apple Inc.",1349728986034
java.vm.version,sysinfo,,,"20.10-b01-428",1349728986034
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1349728986178
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1349728986180
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1349728986180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349729012042
opened,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349729024784
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349729024945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349729096112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349729117239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349729127015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349729235942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349729239005
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1349731949081
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349731949098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349731949229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349731949956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349731954741
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349731965701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349732036266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349732274578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1349732420547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349732426765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349732541287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1349732541346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349732568241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349732711243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349732879258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349732961367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349733013678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349733123394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349733203650
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1349733222586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349733222756
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349733225116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349733248316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349733249975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349733251737
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1349733284957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349733285065
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349733287051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349733327465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349733331331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349733379483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349733427601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349733434186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349733439699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349733503644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349733504436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349733522469
