what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1349085653516
ws,sysinfo,,,"cocoa",1349085653516
locale,sysinfo,,,"en_US",1349085653516
processors,sysinfo,,,"2",1349085653516
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349085653516
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1349085653516
java.specification.name,sysinfo,,,"Java Platform API Specification",1349085653516
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349085653516
java.specification.version,sysinfo,,,"1.6",1349085653516
java.vendor,sysinfo,,,"Apple Inc.",1349085653516
java.version,sysinfo,,,"1.6.0_35",1349085653516
java.vm.info,sysinfo,,,"mixed mode",1349085653516
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349085653516
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349085653516
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349085653516
java.vm.specification.version,sysinfo,,,"1.0",1349085653516
java.vm.vendor,sysinfo,,,"Apple Inc.",1349085653516
java.vm.version,sysinfo,,,"20.10-b01-428",1349085653516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349085663391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349085666462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1349085666501
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1349085671924
closed,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349085671957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349085675066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349085717666
opened,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349085718179
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349085718211
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1349085718227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349086048970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349086283058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349086287918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349112613195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349112981356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349113150792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349113154240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349217564855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349217565324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349217568165
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349217568390
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1349217569227
activated,perspective,org.epic.perleditor,,"org.epic.core.Perspective",1349217593628
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1349217593629
